productividad,edad,sexo,hijos,años_empresa,satisfaccion_equipo,horas_formacion_mes,distancia_oficina_km,departamento,estres_reportado,bono_anual,jornada_continua
26,60,Mujer,No,17,4,4.1,24.1,IT,5,4.8,No
25,50,Hombre,No,1,3,7.8,2.1,Marketing,2,6.3,No
21,36,Mujer,Sí,29,2,12.1,2.6,Operaciones,2,3.2,No
29,64,Hombre,No,1,7,12.3,0.9,Marketing,1,2.9,No
29,29,Hombre,Sí,9,9,5.9,1.1,RRHH,3,3.0,No
27,42,Hombre,Sí,15,3,15.6,5.9,Operaciones,7,4.9,No
25,60,Hombre,No,11,6,4.0,12.4,Ventas,5,1.0,No
36,40,Mujer,Sí,0,9,17.6,2.5,Marketing,7,6.1,Sí
20,44,Mujer,No,20,2,2.2,1.0,Operaciones,9,6.9,No
26,32,Mujer,Sí,7,7,2.6,1.7,Operaciones,6,1.0,Sí
23,32,Mujer,Sí,15,5,0.4,3.0,Ventas,2,4.4,No
29,45,Hombre,Sí,17,5,12.7,1.7,IT,1,1.1,No
29,57,Hombre,Sí,12,7,4.3,1.3,Marketing,1,4.1,Sí
25,61,Hombre,No,14,9,2.1,6.7,Ventas,10,14.4,No
23,45,Mujer,No,20,4,2.1,0.0,Marketing,9,0.9,No
25,24,Hombre,No,11,9,18.5,3.9,IT,6,0.2,No
30,43,Hombre,No,7,10,14.4,7.9,IT,6,11.3,No
29,23,Mujer,Sí,9,9,6.5,1.5,IT,4,2.5,No
27,45,Hombre,No,13,4,7.7,4.6,IT,2,2.4,No
15,65,Hombre,Sí,4,3,5.1,5.5,IT,10,6.0,No
24,51,Hombre,Sí,17,2,4.0,5.3,IT,3,2.8,No
36,59,Mujer,No,18,9,19.8,3.0,IT,3,0.7,Sí
21,23,Mujer,Sí,14,2,1.1,2.1,Ventas,8,2.1,Sí
27,42,Mujer,Sí,5,6,4.3,9.0,Ventas,6,1.9,Sí
26,54,Hombre,No,26,5,3.4,7.1,Ventas,7,2.3,No
22,33,No binario,No,10,5,5.5,1.9,IT,9,0.1,No
27,43,Mujer,No,20,4,4.9,0.5,RRHH,1,2.5,No
26,65,Hombre,Sí,10,6,5.9,0.4,Ventas,2,1.2,No
24,46,Mujer,Sí,19,5,1.2,0.5,Ventas,9,1.9,No
32,48,Hombre,No,19,4,5.8,4.4,Marketing,5,2.7,No
25,63,Mujer,Sí,20,9,2.2,0.3,IT,4,0.4,No
20,49,Mujer,No,17,6,1.6,2.1,Operaciones,1,3.2,No
